stock_name,stock_code,trade_date,open,close,high,low,volume,amount,pct_w,pct_chg,amount_chg,exchg,MA_5,MA_10,MA_20,MA_60,EMA_5,EMA_10,EMA_20,EMA_60,RSI,DIF,DEA,ATR,OBV
秦川机床,000837,2024-11-11,9.99,10.29,10.43,9.86,739990,756215658.33,5.77,4.15,0.41,7.62,,,,,,,,,,,,,739990.0
宝武镁业,002182,2024-11-11,11.24,11.43,11.48,11.06,270038,305873046.65,3.76,2.24,0.25,3.47,,,,,,,,,,,,,270038.0
奥特佳,002239,2024-11-11,3.16,3.38,3.5,3.16,3154096,1062678970.45,10.56,4.97,0.16,9.73,,,,,,,,,,,,,3154096.0
星网锐捷,002396,2024-11-11,17.7,18.42,18.47,17.56,226719,417134696.71,5.16,4.36,0.77,3.89,,,,,,,,,,,,,226719.0
崇达技术,002815,2024-11-11,9.54,9.9,9.91,9.54,251276,249710543.12,3.85,3.02,0.29,3.92,,,,,,,,,,,,,251276.0
奥士康,002913,2024-11-11,25.23,25.82,25.87,25.18,59160,155340436.0,2.74,2.58,0.65,2.31,,,,,,,,,,,,,59160.0
电连技术,300679,2024-11-11,46.03,48.96,48.97,45.86,147176,715889372.0,6.71,5.68,2.63,4.11,,,,,,,,,,,,,147176.0
依顿电子,603328,2024-11-11,9.49,9.85,9.86,9.49,265592,263709464.0,3.87,3.14,0.3,2.66,,,,,,,,,,,,,265592.0
至纯科技,603690,2024-11-11,27.49,30.23,30.23,27.49,327894,955570527.0,9.97,10.01,2.75,8.5,,,,,,,,,,,,,327894.0
国茂股份,603915,2024-11-11,10.73,11.18,11.21,10.73,180406,203186643.0,4.48,4.29,0.46,2.75,,,,,,,,,,,,,180406.0
秦川机床,000837,2024-11-12,10.29,9.85,10.36,9.74,565526,567874488.0,6.03,-4.28,-0.44,5.82,,,,,,,,,,,,,174464.0
宝武镁业,002182,2024-11-12,11.45,11.11,11.71,11.04,420268,477553714.06,5.86,-2.8,-0.32,5.4,,,,,,,,,,,,,-150230.0
奥特佳,002239,2024-11-12,3.34,3.28,3.44,3.24,2324341,771294306.4,5.92,-2.96,-0.1,7.17,,,,,,,,,,,,,829755.0
星网锐捷,002396,2024-11-12,18.43,19.22,19.58,18.14,462974,885064851.36,7.82,4.34,0.8,7.94,,,,,,,,,,,,,689693.0
崇达技术,002815,2024-11-12,9.88,9.84,10.08,9.71,253900,253813287.24,3.74,-0.61,-0.06,3.96,,,,,,,,,,,,,-2624.0
奥士康,002913,2024-11-12,25.9,25.69,26.26,25.43,60950,161341517.16,3.21,-0.5,-0.13,2.38,,,,,,,,,,,,,-1790.0
电连技术,300679,2024-11-12,49.2,48.68,50.84,48.34,128602,639865320.0,5.11,-0.57,-0.28,3.59,,,,,,,,,,,,,18574.0
依顿电子,603328,2024-11-12,9.86,9.8,10.13,9.71,291102,292798742.0,4.26,-0.51,-0.05,2.92,,,,,,,,,,,,,-25510.0
至纯科技,603690,2024-11-12,31.5,30.41,32.88,30.21,536438,1691892434.0,8.83,0.6,0.18,13.91,,,,,,,,,,,,,864332.0
国茂股份,603915,2024-11-12,11.26,11.01,11.3,10.88,154395,174795543.0,3.76,-1.52,-0.17,2.35,,,,,,,,,,,,,26011.0
秦川机床,000837,2024-11-13,9.75,9.73,9.85,9.49,315908,305697171.18,3.65,-1.22,-0.12,3.25,,,,,,,,,,,,,-141444.0
宝武镁业,002182,2024-11-13,11.09,11.0,11.23,10.83,230143,254134494.12,3.6,-0.99,-0.11,2.96,,,,,,,,,,,,,-380373.0
奥特佳,002239,2024-11-13,3.2,3.19,3.23,3.13,1647213,522090535.76,3.05,-2.74,-0.09,5.08,,,,,,,,,,,,,-817458.0
星网锐捷,002396,2024-11-13,18.63,18.62,18.81,18.23,274013,513102276.87,3.02,-3.12,-0.6,4.7,,,,,,,,,,,,,415680.0
