stock_name,stock_code,trade_date,open,close,high,low,volume,amount,pct_w,pct_chg,amount_chg,exchg
千方科技,002373,2025-12-01 10:30:00,11.45,11.34,11.45,11.26,128322,145571349.0,1.66,-0.7,-0.08,0.93
华阳集团,002906,2025-12-01 10:30:00,30.25,29.74,30.25,29.63,51217,152966692.0,2.03,-2.65,-0.81,0.98
欧普康视,300595,2025-12-01 10:30:00,15.75,15.88,15.9,15.64,26974,42558002.0,1.65,1.02,0.16,0.4
新疆天业,600075,2025-12-01 10:30:00,4.97,4.97,5.04,4.96,76487,38227603.0,1.61,0.2,0.01,0.45
贵研铂业,600459,2025-12-01 10:30:00,18.05,18.1,18.29,17.86,248987,449954557.0,2.45,3.13,0.55,3.3
新华医疗,600587,2025-12-01 10:30:00,15.04,15.14,15.18,15.01,22332,33747332.0,1.13,0.8,0.12,0.37
滨化股份,601678,2025-12-01 10:30:00,4.44,4.49,4.51,4.43,143075,64240917.0,1.81,1.35,0.06,0.7
英集芯,688209,2025-12-01 10:30:00,23.63,24.01,24.36,23.62,79866,191819203.0,3.13,1.61,0.38,1.84
中微半导,688380,2025-12-01 10:30:00,32.4,32.17,32.5,32.08,20670,66632684.0,1.29,-0.92,-0.3,1.22
亚辉龙,688575,2025-12-01 10:30:00,14.72,14.83,14.88,14.65,20645,30419892.0,1.56,0.68,0.1,0.36
千方科技,002373,2025-12-01 11:30:00,11.35,11.39,11.4,11.34,42990,48906555.0,0.53,0.44,0.05,0.31
华阳集团,002906,2025-12-01 11:30:00,29.74,29.78,29.8,29.69,23620,70247694.0,0.37,0.13,0.04,0.45
欧普康视,300595,2025-12-01 11:30:00,15.88,15.95,16.05,15.86,21560,34387023.0,1.2,0.44,0.07,0.32
新疆天业,600075,2025-12-01 11:30:00,4.98,4.96,4.98,4.94,39104,19393898.0,0.8,-0.2,-0.01,0.23
贵研铂业,600459,2025-12-01 11:30:00,18.11,17.89,18.12,17.87,66527,119675614.0,1.38,-1.16,-0.21,0.88
新华医疗,600587,2025-12-01 11:30:00,15.14,15.22,15.24,15.13,14404,21888680.0,0.73,0.53,0.08,0.24
滨化股份,601678,2025-12-01 11:30:00,4.48,4.47,4.49,4.45,52738,23552639.0,0.89,-0.45,-0.02,0.26
英集芯,688209,2025-12-01 11:30:00,24.0,24.16,24.22,23.94,22004,53009842.0,1.17,0.62,0.15,0.51
中微半导,688380,2025-12-01 11:30:00,32.17,32.49,32.53,32.13,8305,26862222.0,1.24,0.99,0.32,0.49
亚辉龙,688575,2025-12-01 11:30:00,14.8,14.75,14.85,14.75,6447,9544054.0,0.67,-0.54,-0.08,0.11
千方科技,002373,2025-12-01 14:00:00,11.39,11.31,11.39,11.3,56275,63750458.0,0.79,-0.7,-0.08,0.41
华阳集团,002906,2025-12-01 14:00:00,29.79,29.72,29.81,29.65,15342,45578493.0,0.54,-0.2,-0.06,0.29
欧普康视,300595,2025-12-01 14:00:00,15.95,15.89,15.96,15.87,9033,14369628.0,0.56,-0.38,-0.06,0.14
新疆天业,600075,2025-12-01 14:00:00,4.96,4.95,4.97,4.95,21591,10699055.0,0.4,-0.2,-0.01,0.13
贵研铂业,600459,2025-12-01 14:00:00,17.88,17.77,17.89,17.73,43683,77852483.0,0.89,-0.67,-0.12,0.58
新华医疗,600587,2025-12-01 14:00:00,15.22,15.22,15.26,15.2,11561,17613457.0,0.39,0.0,0.0,0.19
滨化股份,601678,2025-12-01 14:00:00,4.48,4.46,4.48,4.45,48394,21601024.0,0.67,-0.22,-0.01,0.24
英集芯,688209,2025-12-01 14:00:00,24.16,24.22,24.24,24.0,24622,59310279.0,0.99,0.25,0.06,0.57
中微半导,688380,2025-12-01 14:00:00,32.41,32.32,32.53,32.26,8099,26212455.0,0.83,-0.52,-0.17,0.48
亚辉龙,688575,2025-12-01 14:00:00,14.8,14.74,14.8,14.74,4580,6761047.0,0.41,-0.07,-0.01,0.08
