ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
600028.SH,中国石化,2024/11/11,27.4564,27.5001,27.1504,27.2378,174981981,1090977688,-1.5798,0.1842,14.6527,-0.02602,-0.428815
600028.SH,中国石化,2024/11/12,27.1066,27.369,27.0192,27.0192,161139846,1001109643,-0.8026,0.1697,14.5351,-0.31474,-0.321885
600028.SH,中国石化,2024/11/13,27.0192,27.4564,26.9755,27.2815,138917014,866175804,0.9709,0.1463,14.6762,-0.12056,-0.265765
600028.SH,中国石化,2024/11/14,27.2378,27.7187,27.1941,27.4127,200456236,1261952228,0.4808,0.2111,14.7468,-0.34288,-0.17344
600028.SH,中国石化,2024/11/15,27.369,27.8936,27.2815,27.6313,204662984,1293378082,0.7974,0.2155,14.8644,-0.02666,-0.187415
600028.SH,中国石化,2024/11/18,27.675,28.1997,27.6313,27.8062,216905692,1388637173,0.6329,0.2284,14.9585,0.41588,-0.14055
600028.SH,中国石化,2024/11/19,27.8936,27.9373,27.369,27.5001,178021352,1121273287,-1.1006,0.1874,14.7938,0.35628,-0.23375
600028.SH,中国石化,2024/11/20,27.4127,27.8499,27.369,27.7187,139359118,881622992,0.7949,0.1467,14.9114,0.32108,-0.18643
600028.SH,中国石化,2024/11/21,27.675,27.8499,27.5876,27.675,93197275,590705961,-0.1577,0.0981,14.8879,0.19338,-0.11844
600028.SH,中国石化,2024/11/22,27.675,27.8499,27.4127,27.4127,137277472,867142804,-0.9479,0.1445,14.7468,-0.15568,-0.13502
600028.SH,中国石化,2024/11/25,27.5439,28.1559,27.4564,27.675,209483198,1334644725,0.9569,0.2206,14.8879,-0.09088,-0.079425
600028.SH,中国石化,2024/11/26,27.5001,27.8499,27.1941,27.8062,139289890,879845481,0.4739,0.1467,14.9585,0.22402,0.107315
600028.SH,中国石化,2024/11/27,27.8062,27.8936,27.6313,27.8936,126679424,804768007,0.3145,0.1336,14.9895,0.12794,0.155145
600028.SH,中国石化,2024/11/28,27.8499,28.0685,27.7625,27.9811,115904360,740636674,0.3135,0.1222,15.0364,0.22218,0.1789
600028.SH,中国石化,2024/11/29,28.0248,28.1122,27.8062,27.8062,127803439,817165483,-0.625,0.1348,14.9425,0.28676,0.066745
600028.SH,中国石化,2024/12/2,27.7187,27.7625,27.5001,27.5876,160189776,1010856864,-0.7862,0.1689,14.825,-0.06186,0.05928
600028.SH,中国石化,2024/12/3,27.5876,27.7625,27.4564,27.7625,135805575,858062745,0.6339,0.1432,14.919,-0.02986,0.058925
600028.SH,中国石化,2024/12/4,27.7625,28.4183,27.675,28.3308,296081687,1906257455,2.0472,0.3122,15.2244,0.31668,0.161285
600028.SH,中国石化,2024/12/5,28.1997,28.2871,27.8499,27.9373,126470909,811626281,-1.3889,0.1333,15.013,-0.0238,0.01222
600028.SH,中国石化,2024/12/6,27.8499,28.1997,27.8499,28.0248,119178142,765018733,0.313,0.1257,15.0599,0.1638,0.067055
600028.SH,中国石化,2024/12/9,27.9811,28.3308,27.8499,28.2871,131222903,846446219,0.936,0.1384,15.2009,0.50824,0.192845
600028.SH,中国石化,2024/12/10,28.5057,28.6369,28.1559,28.1559,164668708,1068303214,-0.4637,0.1736,15.1304,0.28872,0.20979
600028.SH,中国石化,2024/12/11,28.1559,28.2871,28.0685,28.1559,103105099,664423900,0,0.1087,15.1304,-0.12072,0.161245
600028.SH,中国石化,2024/12/12,28.1997,28.3308,28.1122,28.2434,126065488,814091431,0.3106,0.1329,15.1774,0.21918,0.152735
600028.SH,中国石化,2024/12/13,28.1122,28.1559,27.7187,27.8062,220032124,1405762249,-1.548,0.232,14.9425,-0.15302,0.035465
600028.SH,中国石化,2024/12/16,27.8062,28.2871,27.8062,28.1997,166124797,1069968270,1.4151,0.1752,15.1539,-0.0572,0.074575
600028.SH,中国石化,2024/12/17,28.1122,28.5057,28.0685,28.1559,133820266,865021899,-0.155,0.1411,15.1304,0.00454,0.121855
600028.SH,中国石化,2024/12/18,28.2434,28.6806,28.2434,28.462,158983391,1038145681,1.087,0.1676,15.2949,0.22194,0.13646
600028.SH,中国石化,2024/12/19,28.3745,28.6369,28.1559,28.2434,123185917,798862994,-0.768,0.1299,15.1774,0.00622,0.105945
600028.SH,中国石化,2024/12/20,28.2871,28.3308,27.8936,27.8936,132952415,851802301,-1.2384,0.1402,14.9895,0.06814,0.09142
600028.SH,中国石化,2024/12/23,27.9373,28.6806,27.9373,28.5931,255275708,1660000522,2.5078,0.2692,15.3654,0.28668,0.168965
600028.SH,中国石化,2024/12/24,28.4183,29.0741,28.3745,28.8992,181170097,1196544847,1.0703,0.191,15.5298,0.53174,0.198785
600028.SH,中国石化,2024/12/25,28.8992,29.555,28.8992,29.555,208435657,1402001781,2.2693,0.2198,15.8822,0.7682,0.296525
600028.SH,中国石化,2024/12/26,29.4675,29.555,28.9429,29.1615,161122288,1074428455,-1.3314,0.1699,15.6708,0.65552,0.21428
600028.SH,中国石化,2024/12/27,29.1178,29.3364,28.7243,29.0741,132060597,875399967,-0.2999,0.1392,15.6238,0.84322,0.230535
600028.SH,中国石化,2024/12/30,28.9429,29.4675,28.9429,29.3801,139251589,931609742,1.0526,0.1468,15.7883,0.55218,0.322475
600028.SH,中国石化,2024/12/31,29.2927,29.6424,29.1178,29.2052,170879598,1149845139,-0.5952,0.1802,15.6571,0.21908,0.26102
600028.SH,中国石化,2025/1/2,29.1615,29.4238,28.5057,28.6806,171978677,1136783089,-1.7964,0.1813,15.3758,-0.59406,0.06884
600028.SH,中国石化,2025/1/3,28.768,29.0741,28.5931,28.7243,162187313,1071128870,0.1524,0.171,15.3993,-0.2973,0.145905
600028.SH,中国石化,2025/1/6,28.8117,28.8992,28.2871,28.6806,129469608,845595926,-0.1522,0.1365,15.3758,-0.26776,0.122645
