ts_code,stock_name,trade_date,open,high,low,close,vol,sum,diff,chg,pft,diff_5d,diff_20d
300274.SZ,阳光电源,2024/11/11,832.6009,856.0166,823.964,849.9708,47707476,4201213594,1.3967,3.0005,18.7064,-0.08328,-0.37315
300274.SZ,阳光电源,2024/11/12,850.8345,871.0833,832.9848,841.0459,46453215,4121696921,-1.05,2.9216,18.51,-1.0897,-0.20343
300274.SZ,阳光电源,2024/11/13,831.0655,863.6939,830.6816,860.527,44831407,3966367104,2.3163,2.8196,18.9387,-0.9328,0.13142
300274.SZ,阳光电源,2024/11/14,866.5729,890.5644,854.0973,856.8803,65646287,5986051007,-0.4238,4.1287,18.8584,-0.30996,0.2143
300274.SZ,阳光电源,2024/11/15,844.5007,857.744,822.8124,822.8124,44520302,3871612312,-3.9758,2.8,18.1087,-0.34732,-0.44313
300274.SZ,阳光电源,2024/11/18,815.9988,820.3173,773.4859,779.0519,53182729,4406559286,-5.3184,3.3448,17.1456,-1.69034,-0.69265
300274.SZ,阳光电源,2024/11/19,803.2353,836.5355,791.7194,816.4786,52093628,4403362185,4.8041,3.2763,17.9693,-0.51952,-0.44236
300274.SZ,阳光电源,2024/11/20,804.5789,812.9279,792.1992,797.8612,35458120,2954184419,-2.2802,2.2301,17.5595,-1.43882,-0.790415
300274.SZ,阳光电源,2024/11/21,803.2353,806.1143,786.9211,788.9364,26253385,2172107543,-1.1186,1.6512,17.3631,-1.57778,-0.52114
300274.SZ,阳光电源,2024/11/22,786.9211,802.1797,770.0311,770.6069,33486718,2749130756,-2.3233,2.1061,16.9597,-1.24728,-0.817195
300274.SZ,阳光电源,2024/11/25,770.7029,786.7292,763.8893,782.1228,24950902,2014716399,1.4944,1.5692,17.2132,0.11528,-0.66011
300274.SZ,阳光电源,2024/11/26,772.5262,790.9517,768.4956,768.5916,21833098,1767635950,-1.7301,1.3731,16.9154,-1.19156,-0.573795
300274.SZ,阳光电源,2024/11/27,762.9296,785.4816,750.7419,784.0421,33233640,2657194241,2.0102,2.0902,17.2554,-0.33348,-0.518035
300274.SZ,阳光电源,2024/11/28,779.1479,786.6332,770.7029,770.7988,19083836,1546792514,-1.6891,1.2002,16.9639,-0.44758,-0.564705
300274.SZ,阳光电源,2024/11/29,769.6472,788.0727,763.5054,780.0116,28135621,2278714047,1.1952,1.7695,17.1667,0.25612,-0.37142
300274.SZ,阳光电源,2024/12/2,766.1925,787.6888,758.1313,785.2897,30675871,2490958481,0.6767,1.9293,17.2829,0.09258,-0.39144
300274.SZ,阳光电源,2024/12/3,790.088,808.3215,786.1534,797.5733,33339891,2770104870,1.5642,2.0968,17.5532,0.75144,-0.512335
300274.SZ,阳光电源,2024/12/4,789.6082,794.5024,766.3844,766.8642,34994479,2821283771,-3.8503,2.2009,16.8773,-0.42066,-0.78144
300274.SZ,阳光电源,2024/12/5,763.0256,764.8489,753.333,757.1717,27785719,2191366715,-1.2639,1.7475,16.664,-0.33562,-0.667735
300274.SZ,阳光电源,2024/12/6,748.6307,779.2438,748.6307,774.3496,32642344,2610394575,2.2687,2.053,17.0421,-0.12092,-0.36485
300274.SZ,阳光电源,2024/12/9,771.3746,771.5666,749.4944,755.9241,30511471,2408930438,-2.3795,1.919,16.6366,-0.73216,-0.55366
300274.SZ,阳光电源,2024/12/10,786.2494,786.9211,751.5097,753.429,38047725,3037494480,-0.3301,2.3929,16.5817,-1.11102,-0.517665
300274.SZ,阳光电源,2024/12/11,752.8532,760.6264,740.5695,756.8838,23709618,1857449774,0.4585,1.4912,16.6577,-0.24926,-0.610555
300274.SZ,阳光电源,2024/12/12,754.4846,765.8086,750.7419,759.091,23819187,1883853525,0.2916,1.4981,16.7063,0.06184,-0.574785
300274.SZ,阳光电源,2024/12/13,755.1564,755.2523,732.9882,733.8519,33837237,2615870213,-3.3249,2.1281,16.1508,-1.05688,-0.54224
300274.SZ,阳光电源,2024/12/16,733.2761,735.6753,722.6239,726.0787,20943354,1587576387,-1.0592,1.3172,15.9797,-0.79282,-0.32928
300274.SZ,阳光电源,2024/12/17,724.0634,740.8574,720.2248,721.9521,25366628,1927251295,-0.5683,1.5954,15.8889,-0.84046,-0.5979
300274.SZ,阳光电源,2024/12/18,724.0634,734.0439,719.7449,723.9674,18483303,1397620835,0.2791,1.1625,15.9333,-0.87634,-0.469935
300274.SZ,阳光电源,2024/12/19,719.7449,725.311,712.8354,722.336,20151528,1509285147,-0.2253,1.2674,15.8974,-0.97972,-0.42527
300274.SZ,阳光电源,2024/12/20,723.5836,724.0634,710.3403,711.012,26302284,1958813751,-1.5677,1.6542,15.6481,-0.62828,-0.38749
300274.SZ,阳光电源,2024/12/23,706.8855,736.539,706.6936,719.649,47339097,3576232034,1.2147,2.9773,15.8382,-0.1735,-0.401475
300274.SZ,阳光电源,2024/12/24,717.2498,758.8031,715.9063,753.6209,62169956,4846566692,4.7206,3.9101,16.5859,0.88428,-0.07894
300274.SZ,阳光电源,2024/12/25,753.333,756.4039,738.9381,747.5751,30002247,2334069925,-0.8022,1.8869,16.4528,0.66802,-0.21956
300274.SZ,阳光电源,2024/12/26,749.4944,753.333,738.9381,748.5347,25048776,1950348692,0.1284,1.5754,16.4739,0.73876,-0.128685
300274.SZ,阳光电源,2024/12/27,746.6154,747.4791,723.4876,726.2706,35273552,2682578705,-2.9744,2.2185,15.9839,0.45742,-0.337165
300274.SZ,阳光电源,2024/12/30,725.311,735.3874,718.4014,720.6086,22609583,1707246126,-0.7796,1.422,15.8593,0.05856,-0.40998
300274.SZ,阳光电源,2024/12/31,719.7449,741.0494,705.542,708.5169,30255304,2270087635,-1.678,1.9028,15.5932,-1.22116,-0.57209
300274.SZ,阳光电源,2025/1/2,708.6129,712.0676,685.1972,690.0914,31041100,2250297570,-2.6006,1.9523,15.1877,-1.58084,-0.509605
300274.SZ,阳光电源,2025/1/3,690.2834,694.6978,669.6507,670.1305,27948019,1983296884,-2.8925,1.7577,14.7484,-2.18502,-0.591035
300274.SZ,阳光电源,2025/1/6,677.9997,702.1831,670.8023,687.6923,39273949,2813670098,2.6207,2.47,15.1349,-1.066,-0.573435
300274.SZ,阳光电源,2025/1/7,682.3182,690.9551,674.1611,687.6923,21301938,1515681740,0,1.3397,15.1349,-0.91008,-0.45446
300274.SZ,阳光电源,2025/1/8,684.2375,708.0371,679.0553,698.5364,35431471,2574077288,1.5769,2.2284,15.3736,-0.2591,-0.35911
300274.SZ,阳光电源,2025/1/9,690.9551,722.0481,690.4753,696.905,27930259,2051520372,-0.2335,1.7566,15.3377,0.21432,-0.39371
300274.SZ,阳光电源,2025/1/10,695.7534,701.0316,682.6061,682.798,17061304,1229857674,-2.0242,1.073,15.0272,0.38798,-0.5095
300274.SZ,阳光电源,2025/1/13,676.5602,702.2791,675.6006,687.7883,19032489,1371147535,0.7309,1.197,15.137,0.01002,-0.30671
300274.SZ,阳光电源,2025/1/14,688.7479,710.9161,681.4545,708.9967,29411947,2150985753,3.0836,1.8498,15.6038,0.62674,-0.09957
300274.SZ,阳光电源,2025/1/15,701.6074,711.7797,691.0511,702.9509,30408560,2218361122,-0.8527,1.9125,15.4707,0.14082,-0.11379
300274.SZ,阳光电源,2025/1/16,700.5517,721.2804,700.5517,711.8757,24704239,1830081673,1.2696,1.5537,15.6671,0.44144,-0.064265
300274.SZ,阳光电源,2025/1/17,704.3904,728.1899,702.471,720.2248,28832999,2150734846,1.1728,1.8134,15.8509,1.08084,0.00564
300274.SZ,阳光电源,2025/1/20,737.9785,758.4192,734.9076,742.4889,56291786,4384923923,3.0913,3.5403,16.3409,1.55292,0.23859
300274.SZ,阳光电源,2025/1/21,741.2413,741.2413,723.5836,728.6698,29542942,2246854218,-1.8612,1.858,16.0367,0.56396,0.084795
300274.SZ,阳光电源,2025/1/22,725.9827,728.3819,704.8702,706.7895,31188314,2307465655,-3.0028,1.9615,15.5552,0.13394,-0.301375
300274.SZ,阳光电源,2025/1/23,712.2596,723.1037,706.3097,711.012,29210600,2170332861,0.5974,1.8371,15.6481,-0.0005,-0.231395
300274.SZ,阳光电源,2025/1/24,706.5976,724.4473,704.3904,711.4918,27794776,2070401306,0.0675,1.7481,15.6587,-0.22156,-0.23444
300274.SZ,阳光电源,2025/1/27,711.4918,714.9466,691.7229,691.9148,20866960,1523822684,-2.7516,1.3124,15.2278,-1.39014,-0.2233
300274.SZ,阳光电源,2025/2/5,690.4753,695.6575,675.6965,679.4392,27055849,1924896819,-1.8031,1.7016,14.9533,-1.37852,-0.274475
300274.SZ,阳光电源,2025/2/6,681.3585,686.1568,659.0944,686.1568,42559502,2982337129,0.9887,2.6767,15.1011,-0.58022,-0.14114
300274.SZ,阳光电源,2025/2/7,683.2778,719.7449,679.5352,713.987,52818384,3881242005,4.0559,3.3219,15.7136,0.11148,0.191685
300274.SZ,阳光电源,2025/2/10,711.8757,711.8757,677.5199,692.2027,71524972,5120867722,-3.0511,4.4984,15.2342,-0.51224,0.183755
300274.SZ,阳光电源,2025/2/11,687.2125,688.8439,678.5755,679.5352,28068888,1993261913,-1.83,1.7653,14.9554,-0.32792,-0.03878
300274.SZ,阳光电源,2025/2/12,676.5602,681.8384,670.8023,679.7271,37104179,2611881924,0.0282,2.3336,14.9596,0.03834,-0.03737
300274.SZ,阳光电源,2025/2/13,676.5602,680.6868,671.474,671.474,28254440,1986465972,-1.2142,1.777,14.778,-0.40224,-0.176925
300274.SZ,阳光电源,2025/2/14,667.6354,678.4795,666.7717,668.3072,27073146,1893672925,-0.4716,1.7027,14.7083,-1.30774,-0.18883
300274.SZ,阳光电源,2025/2/17,668.3072,668.4031,653.3365,654.8719,44947056,3087524959,-2.0103,2.8268,14.4126,-1.09958,-0.188135
300274.SZ,阳光电源,2025/2/18,664.6604,675.5046,657.559,659.3823,49129216,3415664290,0.6887,3.0899,14.5119,-0.59584,-0.190245
300274.SZ,阳光电源,2025/2/19,652.8566,656.4074,644.8915,654.9679,44421724,3010228133,-0.6695,2.7938,14.4147,-0.73538,-0.3779
300274.SZ,阳光电源,2025/2/20,651.3212,651.705,639.9972,644.1237,39498637,2653219001,-1.6557,2.4842,14.176,-0.82368,-0.41805
300274.SZ,阳光电源,2025/2/21,644.6036,654.9679,644.0278,647.4825,47845201,3235002793,0.5215,3.0091,14.25,-0.62506,-0.455455
300274.SZ,阳光电源,2025/2/24,644.9874,659.7662,637.8859,653.2405,43083930,2918479984,0.8893,2.7097,14.3767,-0.04514,-0.46963
300274.SZ,阳光电源,2025/2/25,645.1794,656.0235,643.1641,644.2197,35211128,2377430236,-1.3809,2.2145,14.1782,-0.45906,-0.69324
300274.SZ,阳光电源,2025/2/26,644.0278,673.6812,643.9318,673.2974,72371253,4974770203,4.5136,4.5516,14.8181,0.57756,-0.3745
300274.SZ,阳光电源,2025/2/27,676.5602,700.8396,675.6006,689.3237,84553441,6061745073,2.3803,5.3178,15.1708,1.38476,-0.105345
300274.SZ,阳光电源,2025/2/28,688.0761,707.0774,678.5755,680.3989,57544211,4155915091,-1.2947,3.6191,14.9744,1.02152,-0.19995
300274.SZ,阳光电源,2025/3/3,678.4795,708.9967,678.4795,696.4252,59788580,4353684585,2.3554,3.7603,15.3271,1.31474,-0.085555
300274.SZ,阳光电源,2025/3/4,686.1568,688.1721,672.2418,677.9997,36149709,2550976273,-2.6457,2.2736,14.9216,1.06178,-0.08026
300274.SZ,阳光电源,2025/3/5,676.5602,677.9038,652.4728,654.7759,48502661,3337080467,-3.4253,3.0505,14.4105,-0.526,-0.16137
