ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA_5,MA_10,MA_20,MA_60,EMA_5,EMA_10,EMA_20,EMA_60,RSI,DIF,DEA,ATR,OBV
600028.SH,2024-09-11,6.47,6.48,6.16,6.3,6.5,-0.2,-3.0769,1767133.68,1107431.799,,,,,,,,,,,,,1767133.68
600030.SH,2024-09-11,18.85,19.08,18.82,19.0,18.88,0.12,0.6356,460407.86,874378.09,,,,,,,,,,,,,460407.86
600031.SH,2024-09-11,15.2,15.6,15.15,15.57,15.29,0.28,1.8313,345979.22,534973.78,,,,,,,,,,,,,345979.22
600036.SH,2024-09-11,30.14,30.2,29.93,30.08,30.19,-0.11,-0.3644,415793.76,1249059.023,,,,,,,,,,,,,415793.76
600048.SH,2024-09-11,7.42,7.61,7.38,7.51,7.45,0.06,0.8054,698622.42,525280.574,,,,,,,,,,,,,698622.42
600050.SH,2024-09-11,4.55,4.56,4.48,4.5,4.56,-0.06,-1.3158,1013777.77,457095.065,,,,,,,,,,,,,1013777.77
600276.SH,2024-09-11,44.3,45.55,44.11,45.43,44.48,0.95,2.1358,291578.38,1318678.749,,,,,,,,,,,,,291578.38
600309.SH,2024-09-11,69.42,70.89,68.9,70.67,69.7,0.97,1.3917,96063.52,674453.392,,,,,,,,,,,,,96063.52
600406.SH,2024-09-11,25.17,25.68,25.11,25.56,25.18,0.38,1.5091,183802.13,468473.62,,,,,,,,,,,,,183802.13
600519.SH,2024-09-11,1375.6,1385.88,1365.0,1380.0,1378.0,2.0,0.1451,20995.77,2892932.794,,,,,,,,,,,,,20995.77
600690.SH,2024-09-11,24.18,25.4,23.96,25.1,24.28,0.82,3.3773,410909.91,1028173.391,,,,,,,,,,,,,410909.91
600760.SH,2024-09-11,40.4,40.63,40.29,40.5,40.41,0.09,0.2227,31429.96,127301.885,,,,,,,,,,,,,31429.96
600809.SH,2024-09-11,159.66,161.0,157.15,159.9,159.65,0.25,0.1566,34366.16,547512.005,,,,,,,,,,,,,34366.16
600887.SH,2024-09-11,21.88,22.29,21.7,22.23,21.95,0.28,1.2756,324734.34,716427.011,,,,,,,,,,,,,324734.34
600900.SH,2024-09-11,29.15,29.15,27.65,27.8,29.15,-1.35,-4.6312,1439497.37,4047995.05,,,,,,,,,,,,,1439497.37
600941.SH,2024-09-11,101.92,102.18,99.22,99.42,101.92,-2.5,-2.4529,96159.01,961557.975,,,,,,,,,,,,,96159.01
601012.SH,2024-09-11,13.03,13.45,13.03,13.36,13.13,0.23,1.7517,742787.51,986430.133,,,,,,,,,,,,,742787.51
601088.SH,2024-09-11,37.2,37.28,35.95,36.74,37.49,-0.75,-2.0005,242706.52,884397.733,,,,,,,,,,,,,242706.52
601127.SH,2024-09-11,75.39,76.2,74.8,74.99,75.91,-0.92,-1.212,182310.47,1372672.37,,,,,,,,,,,,,182310.47
601166.SH,2024-09-11,16.03,16.04,15.68,15.8,16.07,-0.27,-1.6801,498040.42,788264.75,,,,,,,,,,,,,498040.42
601225.SH,2024-09-11,22.72,22.72,21.6,22.03,22.64,-0.61,-2.6943,320945.55,704024.618,,,,,,,,,,,,,320945.55
601288.SH,2024-09-11,4.6,4.61,4.44,4.46,4.6,-0.14,-3.0435,4583072.11,2060811.207,,,,,,,,,,,,,4583072.11
601318.SH,2024-09-11,42.64,42.92,42.37,42.52,42.66,-0.14,-0.3282,274074.24,1167516.315,,,,,,,,,,,,,274074.24
601328.SH,2024-09-11,6.71,6.73,6.51,6.54,6.74,-0.2,-2.9674,1636102.36,1076756.79,,,,,,,,,,,,,1636102.36
