date,con_code,stock_name
20250124,000969.SZ,安泰科技
20250124,002249.SZ,大洋电机
20250124,002635.SZ,安洁科技
20250124,300627.SZ,华测导航
20250124,300679.SZ,电连技术
20250124,600621.SH,华鑫股份
20250124,600864.SH,哈投股份
20250124,603348.SH,文灿股份
20250124,605020.SH,永和股份
20250124,688403.SH,汇成股份
20250207,002126.SZ,银轮股份
20250207,002139.SZ,拓邦股份
20250207,002154.SZ,报喜鸟
20250207,002239.SZ,奥特佳
20250207,002635.SZ,安洁科技
20250207,002906.SZ,华阳集团
20250207,300627.SZ,华测导航
20250207,600718.SH,东软集团
20250207,603197.SH,保隆科技
20250207,603348.SH,文灿股份
20250214,000682.SZ,东方电子
20250214,002010.SZ,传化智联
20250214,002063.SZ,远光软件
20250214,002126.SZ,银轮股份
20250214,002396.SZ,星网锐捷
20250214,002906.SZ,华阳集团
20250214,600718.SH,东软集团
20250214,603690.SH,至纯科技
20250214,688007.SH,光峰科技
20250221,000727.SZ,冠捷科技
20250221,002010.SZ,传化智联
20250221,002176.SZ,江特电机
20250221,002396.SZ,星网锐捷
20250221,002541.SZ,鸿路钢构
20250221,002643.SZ,万润股份
20250221,002960.SZ,青鸟消防
20250221,300415.SZ,伊之密
20250221,603888.SH,新华网
20250221,688531.SH,日联科技
20250228,002126.SZ,银轮股份
20250228,002176.SZ,江特电机
20250228,002434.SZ,万里扬
20250228,600710.SH,苏美达
20250228,600729.SH,重庆百货
20250228,600761.SH,安徽合力
20250228,688007.SH,光峰科技
20250228,688556.SH,高测股份
20250307,002063.SZ,远光软件
20250307,002139.SZ,拓邦股份
20250307,002174.SZ,游族网络
20250307,002434.SZ,万里扬
20250307,002960.SZ,青鸟消防
20250307,600710.SH,苏美达
20250307,600718.SH,东软集团
20250307,600751.SH,海航科技
20250307,603348.SH,文灿股份
20250307,688007.SH,光峰科技
20250314,000156.SZ,华数传媒
20250314,000915.SZ,华特达因
20250314,300463.SZ,迈克生物
20250314,600456.SH,宝钛股份
20250314,600710.SH,苏美达
20250314,600751.SH,海航科技
20250314,601208.SH,东材科技
20250314,605589.SH,圣泉集团
20250321,000969.SZ,安泰科技
20250321,002048.SZ,宁波华翔
20250321,002434.SZ,万里扬
20250321,300415.SZ,伊之密
20250321,600751.SH,海航科技
20250321,603093.SH,南华期货
20250321,688556.SH,高测股份
20250328,300702.SZ,天宇股份
20250328,300841.SZ,康华生物
20250328,600882.SH,妙可蓝多
20250328,600976.SH,健民集团
20250328,603093.SH,南华期货
20250328,688150.SH,莱特光电
20250328,688268.SH,华特气体
20250403,002991.SZ,甘源食品
20250403,300357.SZ,我武生物
20250403,300841.SZ,康华生物
20250403,300869.SZ,康泰医学
20250403,600882.SH,妙可蓝多
20250403,603093.SH,南华期货
20250403,605009.SH,豪悦护理
20250403,688150.SH,莱特光电
20250411,000582.SZ,北部湾港
20250411,000860.SZ,顺鑫农业
20250411,002991.SZ,甘源食品
20250411,300236.SZ,上海新阳
20250411,600827.SH,百联股份
20250411,688146.SH,中船特气
20250411,688150.SH,莱特光电
20250418,002891.SZ,中宠股份
20250418,300236.SZ,上海新阳
20250418,300702.SZ,天宇股份
20250418,300841.SZ,康华生物
20250418,301363.SZ,美好医疗
20250418,600827.SH,百联股份
20250418,603128.SH,华贸物流
20250418,688531.SH,日联科技
20250425,300236.SZ,上海新阳
20250425,300415.SZ,伊之密
20250425,300685.SZ,艾德生物
20250425,300702.SZ,天宇股份
20250425,300725.SZ,药石科技
20250425,301216.SZ,万凯新材
20250425,301526.SZ,国际复材
20250425,688150.SH,莱特光电
20250425,688531.SH,日联科技
20250509,000727.SZ,冠捷科技
20250509,000969.SZ,安泰科技
20250509,001322.SZ,箭牌家居
20250509,002023.SZ,海特高新
20250509,002151.SZ,北斗星通
20250509,002626.SZ,金达威
20250509,300034.SZ,钢研高纳
20250509,300679.SZ,电连技术
20250509,601890.SH,亚星锚链
20250509,688586.SH,江航装备
20250516,000065.SZ,北方国际
20250516,000582.SZ,北部湾港
20250516,300596.SZ,利安隆
20250516,600017.SH,日照港
20250516,600338.SH,西藏珠峰
20250516,600428.SH,中远海特
20250516,600621.SH,华鑫股份
20250516,600751.SH,海航科技
20250516,600761.SH,安徽合力
20250516,601975.SH,招商南油
20250523,000582.SZ,北部湾港
20250523,002023.SZ,海特高新
20250523,002859.SZ,洁美科技
20250523,300841.SZ,康华生物
20250523,600259.SH,中稀有色
20250530,000766.SZ,通化金马
20250530,002544.SZ,普天科技
20250530,300034.SZ,钢研高纳
20250530,300036.SZ,超图软件
20250530,600478.SH,科力远
20250530,600621.SH,华鑫股份
20250530,600761.SH,安徽合力
20250530,601890.SH,亚星锚链
20250606,000970.SZ,中科三环
20250606,002171.SZ,楚江新材
20250606,002192.SZ,融捷股份
20250606,300725.SZ,药石科技
20250606,300741.SZ,华宝股份
20250606,300747.SZ,锐科激光
20250606,301015.SZ,百洋医药
20250606,600366.SH,宁波韵升
20250606,600621.SH,华鑫股份
20250606,600643.SH,爱建集团
20250613,000767.SZ,晋控电力
20250613,002171.SZ,楚江新材
20250613,002727.SZ,一心堂
20250613,300428.SZ,立中集团
20250613,301047.SZ,义翘神州
20250613,301262.SZ,海看股份
